companyName,contractType,experienceLevel,location,salary,sector,job_title,extracted_skills,day,month,year
Skill Farm,Temporary,Entry level,Paris,41500.0,Investment Banking,Data Analyst,"['Python', 'R', 'Pyspark', 'SQL', 'Microsoft Power BI', 'Excel', 'PowerPoint', 'git']",4,9,2024
TieTalent,Full-time,Entry level,Rueil-Malmaison,41500.0,"Technology, Information and Internet",Data Analyst,"['Cloud AZURE', 'AWS', 'GOOGLE', 'Qlikview', 'Qliksense', 'PowerBi', 'TALEND', 'INFORMATICA', 'Oracle', 'SqlServer', 'PostgreSQL']",5,10,2024
ACR Group,Full-time,Mid-Senior level,Gennevilliers,41500.0,Motor Vehicle Manufacturing,Data Analyst,['BI'],28,9,2024
ACR GROUP,Full-time,Mid-Senior level,Gennevilliers,41500.0,"Technology, Information and Internet",Data Analyst,,27,9,2024
LesJeudis,Temporary,Entry level,Paris,41500.0,IT Services and IT Consulting,Data Analyst,,4,10,2024
Leihia,Full-time,Mid-Senior level,Frette-sur-Seine,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",26,9,2024
Qantev,Full-time,Associate,Paris,41500.0,Software Development,Data Analyst,,11,10,2024
Leihia,Full-time,Mid-Senior level,Collégien,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",27,9,2024
PayFit,Full-time,Entry level,Paris,41500.0,IT Services and IT Consulting,Data Analyst,,24,9,2024
Nestlé,Full-time,Associate,Issy-les-Moulineaux,41500.0,Food and Beverage Services,Data Analyst,,12,9,2024
Eau d'Azur,Full-time,Entry level,Nice,41500.0,Spectator Sports,Data Analyst,"['Excel', 'SAGE version V6']",1,10,2024
TieTalent,Full-time,Entry level,Neuilly-sur-Seine,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
METEOJOB by CleverConnect,Internship,Entry level,Lyon,41500.0,"Technology, Information and Internet",Data Analyst,"['Dataviz', 'PowerBI']",5,10,2024
Noveo Group,Contract,Not Applicable,Marcq-en-Barœul,41500.0,Software Development,Data Analyst,"['Qualtrics', 'Power BI', 'Data Studio']",10,10,2024
EPITA: Ecole d'Ingénieurs en Informatique,Full-time,Entry level,Kremlin-Bicêtre,34000.0,"Primary and Secondary Education, Higher Education, and Research Services",Data Analyst,,22,7,2024
TieTalent,Full-time,Entry level,Saint-Priest,41500.0,"Technology, Information and Internet",Data Analyst,"['Power BI', 'Power Query', 'M', 'DAX']",9,10,2024
TieTalent,Full-time,Entry level,Toulouse,41500.0,"Technology, Information and Internet",Data Analyst,['Python'],9,10,2024
Capgemini,Full-time,Entry level,Aix-en-Provence,41500.0,IT Services and IT Consulting,Data Analyst,"['SQL', 'Python', 'Qliksense', 'Spotfire', 'R', 'Oracle']",17,3,2024
One Business School,Contract,Internship,St.-Ouen,41500.0,Higher Education,Data Analyst,"['Databricks', 'PowerBI', 'Spark', 'Airflow', 'SQL', 'Prophet', 'AutoML']",11,10,2024
TieTalent,Full-time,Entry level,Boulogne-Billancourt,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
Astek,Full-time,Entry level,Paris,41500.0,Financial Services and Government Administration,Data Analyst,"['SQL', 'Python']",1,10,2024
TieTalent,Full-time,Internship,Nantes,41500.0,"Technology, Information and Internet",Data Analyst,,5,10,2024
ARIAL Industries,Full-time,Entry level,Massy,41500.0,Industrial Machinery Manufacturing,Data Analyst,"['Power BI', 'SQL', 'Python', 'R', 'SAP']",12,9,2024
TieTalent,Full-time,Entry level,Lambersart,41500.0,"Technology, Information and Internet",Data Analyst,"['SQL Server', 'Microsoft Power BI', 'Tableau']",12,10,2024
TieTalent,Full-time,Entry level,Oullins,41500.0,"Technology, Information and Internet",Data Analyst,"['Dataviz', 'PowerBi']",12,10,2024
LeLynx.fr,Full-time,Associate,Paris,41500.0,Insurance,Data Analyst,"['Tableau Prep', 'Python', 'Tableau', 'SQL']",7,10,2024
Betclic Group,Full-time,Entry level,Bordeaux,41500.0,"Technology, Information and Internet",Data Analyst,,12,10,2024
Leihia,Full-time,Mid-Senior level,Auvers-sur-Oise,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",12,10,2024
Leihia,Full-time,Mid-Senior level,Orsay,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",24,9,2024
OpenClassrooms,Internship,Not Applicable,Saint-Quentin-en-Yvelines,15030.0,Education,Data Analyst,['PowerBI'],8,10,2024
HelloFresh,Full-time,Internship,Paris,41500.0,Consumer Services,Data Analyst,,12,10,2024
OTTEO,Full-time,Associate,Lille,43000.0,Business Consulting and Services,Data Analyst,,27,8,2024
ARIAL Industries,Full-time,Mid-Senior level,Malakoff,50000.0,Industrial Machinery Manufacturing,Data Analyst,['KANBAN'],2,9,2024
